"ano","categoria","atribuicao","comentario","venceu"
"1960 (33rd)","Music (Scoring)","Exodus","Ernest Gold","YES"
"1960 (33rd)","Music (Scoring)","The Magnificent Seven","Elmer Bernstein","NO"
"1960 (33rd)","Music (Scoring)","Spartacus","Alex North","NO"
"1960 (33rd)","Music (Scoring)","Bells Are Ringing","Andre Previn","NO"
"1960 (33rd)","Music (Scoring)","Can-Can","Nelson Riddle","NO"
"1960 (33rd)","Music (Scoring)","Let's Make Love","Lionel Newman, Earle H. Hagen","NO"
"1960 (33rd)","Music (Scoring)","Pepe","Johnny Green","NO"
"1960 (33rd)","Music (Scoring)","Song without End (The Story of Franz Liszt)","Morris Stoloff, Harry Sukman","YES"
"1960 (33rd)","Music (Song)","The Facts of Life","Music and Lyrics by Johnny Mercer","NO"
"1960 (33rd)","Music (Song)","Pepe","Music by Andre Previn; Lyrics by Dory Langdon","NO"
"1960 (33rd)","Music (Song)","The Alamo","Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster","NO"
"1960 (33rd)","Music (Song)","Never on Sunday","Music and Lyrics by Manos Hadjidakis","YES"
"1960 (33rd)","Music (Song)","High Time","Music by James Van Heusen; Lyrics by Sammy Cahn","NO"
"1960 (33rd)","Best Picture","The Alamo","John Wayne, Producer","NO"
"1960 (33rd)","Best Picture","The Apartment","Billy Wilder, Producer","YES"
"1960 (33rd)","Best Picture","Elmer Gantry","Bernard Smith, Producer","NO"
"1960 (33rd)","Best Picture","Sons and Lovers","Jerry Wald, Producer","NO"
"1960 (33rd)","Best Picture","The Sundowners","Fred Zinnemann, Producer","NO"
"1960 (33rd)","Honorary Award","Gary Cooper","","YES"
"1960 (33rd)","Honorary Award","Stan Laurel","","YES"
"1960 (33rd)","Honorary Award","Hayley Mills","","YES"
"1959 (32nd)","Actor -- Leading Role","Laurence Harvey","Room at the Top {'Joe Lampton'}","NO"
"1959 (32nd)","Actor -- Leading Role","Charlton Heston","Ben-Hur {'Judah Ben-Hur'}","YES"
"1959 (32nd)","Actor -- Leading Role","Jack Lemmon","Some Like It Hot {'Jerry/Daphne'}","NO"
"1959 (32nd)","Actor -- Leading Role","Paul Muni","The Last Angry Man {'Dr. Sam Abelman'}","NO"
"1959 (32nd)","Actor -- Leading Role","James Stewart","Anatomy of a Murder {'Paul Biegler'}","NO"
"1959 (32nd)","Actor -- Supporting Role","Hugh Griffith","Ben-Hur {'Sheik Ilderim'}","YES"
"1959 (32nd)","Actor -- Supporting Role","Arthur O'Connell","Anatomy of a Murder {'Parnell McCarthy'}","NO"
"1959 (32nd)","Actor -- Supporting Role","George C. Scott","Anatomy of a Murder {'Claude Dancer'}","NO"
"1959 (32nd)","Actor -- Supporting Role","Robert Vaughn","The Young Philadelphians {'Chester Gwynn'}","NO"
"1959 (32nd)","Actor -- Supporting Role","Ed Wynn","The Diary of Anne Frank {'Mr. Dussell'}","NO"
"1959 (32nd)","Actress -- Leading Role","Doris Day","Pillow Talk {'Jan Morrow'}","NO"
"1959 (32nd)","Actress -- Leading Role","Audrey Hepburn","The Nun's Story {'Sister Luke'}","NO"
"1959 (32nd)","Actress -- Leading Role","Katharine Hepburn","Suddenly, Last Summer {'Mrs. Venable'}","NO"
"1959 (32nd)","Actress -- Leading Role","Simone Signoret","Room at the Top {'Alice Aisgill'}","YES"
"1959 (32nd)","Actress -- Leading Role","Elizabeth Taylor","Suddenly, Last Summer {'Catherine Holly'}","NO"
"1959 (32nd)","Actress -- Supporting Role","Hermione Baddeley","Room at the Top {'Elspeth'}","NO"
"1959 (32nd)","Actress -- Supporting Role","Susan Kohner","Imitation of Life {'Sarah Jane (age 18)'}","NO"
"1959 (32nd)","Actress -- Supporting Role","Juanita Moore","Imitation of Life {'Annie Johnson'}","NO"
"1959 (32nd)","Actress -- Supporting Role","Thelma Ritter","Pillow Talk {'Alma'}","NO"
"1959 (32nd)","Actress -- Supporting Role","Shelley Winters","The Diary of Anne Frank {'Mrs. Van Daan'}","YES"
"1959 (32nd)","Cinematography","Anatomy of a Murder","Sam Leavitt","NO"
"1959 (32nd)","Cinematography","Career","Joseph LaShelle","NO"
"1959 (32nd)","Cinematography","The Diary of Anne Frank","William C. Mellor","YES"
"1959 (32nd)","Cinematography","Some Like It Hot","Charles Lang, Jr.","NO"
"1959 (32nd)","Cinematography","The Young Philadelphians","Harry Stradling, Sr.","NO"
"1959 (32nd)","Cinematography","Ben-Hur","Robert L. Surtees","YES"
"1959 (32nd)","Cinematography","The Big Fisherman","Lee Garmes","NO"
"1959 (32nd)","Cinematography","The Five Pennies","Daniel L. Fapp","NO"
"1959 (32nd)","Cinematography","The Nun's Story","Franz Planer","NO"
"1959 (32nd)","Cinematography","Porgy and Bess","Leon Shamroy","NO"
"1959 (32nd)","Directing","Ben-Hur","William Wyler","YES"
"1959 (32nd)","Directing","The Diary of Anne Frank","George Stevens","NO"
"1959 (32nd)","Directing","The Nun's Story","Fred Zinnemann","NO"
"1959 (32nd)","Directing","Room at the Top","Jack Clayton","NO"
"1959 (32nd)","Directing","Some Like It Hot","Billy Wilder","NO"
"1959 (32nd)","Foreign Language Film","Black Orpheus","France","YES"
"1959 (32nd)","Foreign Language Film","The Bridge","West Germany","NO"
"1959 (32nd)","Foreign Language Film","The Great War","Italy","NO"
"1959 (32nd)","Foreign Language Film","Paw","Denmark","NO"
"1959 (32nd)","Foreign Language Film","The Village on the River","The Netherlands","NO"
"1959 (32nd)","Music (Scoring)","Ben-Hur","Miklos Rozsa","YES"
"1959 (32nd)","Music (Scoring)","The Diary of Anne Frank","Alfred Newman","NO"
"1959 (32nd)","Music (Scoring)","The Nun's Story","Franz Waxman","NO"
"1959 (32nd)","Music (Scoring)","On the Beach","Ernest Gold","NO"
"1959 (32nd)","Music (Scoring)","Pillow Talk","Frank DeVol","NO"
"1959 (32nd)","Music (Scoring)","The Five Pennies","Leith Stevens","NO"
"1959 (32nd)","Music (Scoring)","Li'l Abner","Nelson Riddle, Joseph J. Lilley","NO"
"1959 (32nd)","Music (Scoring)","Porgy and Bess","Andre Previn, Ken Darby","YES"
"1959 (32nd)","Music (Scoring)","Say One for Me","Lionel Newman","NO"
"1959 (32nd)","Music (Scoring)","Sleeping Beauty","George Bruns","NO"
"1959 (32nd)","Music (Song)","The Best of Everything","Music by Alfred Newman; Lyrics by Sammy Cahn","NO"
"1959 (32nd)","Music (Song)","The Five Pennies","Music and Lyrics by Sylvia Fine","NO"
"1959 (32nd)","Music (Song)","The Hanging Tree","Music by Jerry Livingston; Lyrics by Mack David","NO"
"1959 (32nd)","Music (Song)","A Hole in the Head","Music by James Van Heusen; Lyrics by Sammy Cahn","YES"
"1959 (32nd)","Music (Song)","The Young Land","Music by Dimitri Tiomkin; Lyrics by Ned Washington","NO"
"1959 (32nd)","Best Picture","Anatomy of a Murder","Otto Preminger, Producer","NO"
"1959 (32nd)","Best Picture","Ben-Hur","Sam Zimbalist, Producer","YES"
"1959 (32nd)","Best Picture","The Diary of Anne Frank","George Stevens, Producer","NO"
"1959 (32nd)","Best Picture","The Nun's Story","Henry Blanke, Producer","NO"
"1959 (32nd)","Best Picture","Room at the Top","John Woolf and James Woolf, Producers","NO"
"1959 (32nd)","Honorary Award","Lee De Forest","","YES"
"1959 (32nd)","Honorary Award","Buster Keaton","","YES"
"1958 (31st)","Actor -- Leading Role","Tony Curtis","The Defiant Ones {'John 'Joker' Jackson'}","NO"
"1958 (31st)","Actor -- Leading Role","Paul Newman","Cat on a Hot Tin Roof {'Brick Pollitt'}","NO"
"1958 (31st)","Actor -- Leading Role","David Niven","Separate Tables {'Major Pollock'}","YES"
"1958 (31st)","Actor -- Leading Role","Sidney Poitier","The Defiant Ones {'Noah Cullen'}","NO"
"1958 (31st)","Actor -- Leading Role","Spencer Tracy","The Old Man and the Sea {'The Old Man'}","NO"
"1958 (31st)","Actor -- Supporting Role","Theodore Bikel","The Defiant Ones {'Sheriff Max Muller'}","NO"
"1958 (31st)","Actor -- Supporting Role","Lee J. Cobb","The Brothers Karamazov {'Fyodor Karamazov'}","NO"
"1958 (31st)","Actor -- Supporting Role","Burl Ives","The Big Country {'Rufus Hannassey'}","YES"
"1958 (31st)","Actor -- Supporting Role","Arthur Kennedy","Some Came Running {'Frank Hirsh'}","NO"
"1958 (31st)","Actor -- Supporting Role","Gig Young","Teacher's Pet {'Dr. Hugo Pine'}","NO"
"1958 (31st)","Actress -- Leading Role","Susan Hayward","I Want to Live! {'Barbara Graham'}","YES"
"1958 (31st)","Actress -- Leading Role","Deborah Kerr","Separate Tables {'Sibyl Railton-Bell'}","NO"
"1958 (31st)","Actress -- Leading Role","Shirley MacLaine","Some Came Running {'Ginny Moorhead'}","NO"
"1958 (31st)","Actress -- Leading Role","Rosalind Russell","Auntie Mame {'Auntie Mame Dennis'}","NO"
"1958 (31st)","Actress -- Leading Role","Elizabeth Taylor","Cat on a Hot Tin Roof {'Maggie Pollitt'}","NO"
"1958 (31st)","Actress -- Supporting Role","Peggy Cass","Auntie Mame {'Agnes Gooch'}","NO"
"1958 (31st)","Actress -- Supporting Role","Wendy Hiller","Separate Tables {'Pat Cooper'}","YES"
"1958 (31st)","Actress -- Supporting Role","Martha Hyer","Some Came Running {'Gwen French'}","NO"
"1958 (31st)","Actress -- Supporting Role","Maureen Stapleton","Lonelyhearts {'Fay Doyle'}","NO"
"1958 (31st)","Actress -- Supporting Role","Cara Williams","The Defiant Ones {'The Woman'}","NO"
"1958 (31st)","Cinematography","The Defiant Ones","Sam Leavitt","YES"
"1958 (31st)","Cinematography","Desire under the Elms","Daniel L. Fapp","NO"
"1958 (31st)","Cinematography","I Want to Live!","Lionel Lindon","NO"
"1958 (31st)","Cinematography","Separate Tables","Charles Lang, Jr.","NO"
"1958 (31st)","Cinematography","The Young Lions","Joe MacDonald","NO"
"1958 (31st)","Cinematography","Auntie Mame","Harry Stradling, Sr.","NO"
"1958 (31st)","Cinematography","Cat on a Hot Tin Roof","William Daniels","NO"
"1958 (31st)","Cinematography","Gigi","Joseph Ruttenberg","YES"
"1958 (31st)","Cinematography","The Old Man and the Sea","James Wong Howe","NO"
"1958 (31st)","Cinematography","South Pacific","Leon Shamroy","NO"
"1958 (31st)","Directing","Cat on a Hot Tin Roof","Richard Brooks","NO"
"1958 (31st)","Directing","The Defiant Ones","Stanley Kramer","NO"
"1958 (31st)","Directing","Gigi","Vincente Minnelli","YES"
"1958 (31st)","Directing","I Want to Live!","Robert Wise","NO"
"1958 (31st)","Directing","The Inn of the Sixth Happiness","Mark Robson","NO"
"1958 (31st)","Foreign Language Film","Arms and the Man","West Germany","NO"
"1958 (31st)","Foreign Language Film","La Venganza","Spain","NO"
"1958 (31st)","Foreign Language Film","My Uncle","France","YES"
"1958 (31st)","Foreign Language Film","The Road a Year Long","Yugoslavia","NO"
"1958 (31st)","Foreign Language Film","The Usual Unidentified Thieves","Italy","NO"
"1958 (31st)","Music (Scoring)","The Big Country","Jerome Moross","NO"
"1958 (31st)","Music (Scoring)","The Old Man and the Sea","Dimitri Tiomkin","YES"
"1958 (31st)","Music (Scoring)","Separate Tables","David Raksin","NO"
"1958 (31st)","Music (Scoring)","White Wilderness","Oliver Wallace","NO"
"1958 (31st)","Music (Scoring)","The Young Lions","Hugo Friedhofer","NO"
"1958 (31st)","Music (Scoring)","The Bolshoi Ballet","Yuri Faier, G. Rozhdestvensky","NO"
"1958 (31st)","Music (Scoring)","Damn Yankees","Ray Heindorf","NO"
"1958 (31st)","Music (Scoring)","Gigi","Andre Previn","YES"
"1958 (31st)","Music (Scoring)","Mardi Gras","Lionel Newman","NO"
"1958 (31st)","Music (Scoring)","South Pacific","Alfred Newman, Ken Darby","NO"
"1958 (31st)","Music (Song)","Houseboat","Music and Lyrics by Jay Livingston and Ray Evans","NO"
"1958 (31st)","Music (Song)","A Certain Smile","Music by Sammy Fain; Lyrics by Paul Francis Webster","NO"
"1958 (31st)","Music (Song)","Gigi","Music by Frederick Loewe; Lyrics by Alan Jay Lerner","YES"
"1958 (31st)","Music (Song)","Some Came Running","Music by James Van Heusen; Lyrics by Sammy Cahn","NO"
"1958 (31st)","Music (Song)","Marjorie Morningstar","Music by Sammy Fain; Lyrics by Paul Francis Webster","NO"
"1958 (31st)","Best Picture","Auntie Mame","Warner Bros.","NO"
"1958 (31st)","Best Picture","Cat on a Hot Tin Roof","Lawrence Weingarten, Producer","NO"
"1958 (31st)","Best Picture","The Defiant Ones","Stanley Kramer, Producer","NO"
"1958 (31st)","Best Picture","Gigi","Arthur Freed, Producer","YES"
"1958 (31st)","Best Picture","Separate Tables","Harold Hecht, Producer","NO"
"1958 (31st)","Honorary Award","Maurice Chevalier.","","YES"
"1957 (30th)","Actor -- Leading Role","Marlon Brando","Sayonara {'Major Lloyd Gruver'}","NO"
"1957 (30th)","Actor -- Leading Role","Anthony Franciosa","A Hatful of Rain {'Polo'}","NO"
"1957 (30th)","Actor -- Leading Role","Alec Guinness","The Bridge on the River Kwai {'Colonel Nicholson'}","YES"
"1957 (30th)","Actor -- Leading Role","Charles Laughton","Witness for the Prosecution {'Sir Wilfrid Robarts'}","NO"
"1957 (30th)","Actor -- Leading Role","Anthony Quinn","Wild Is the Wind {'Gino'}","NO"
"1957 (30th)","Actor -- Supporting Role","Red Buttons","Sayonara {'Joe Kelly'}","YES"
"1957 (30th)","Actor -- Supporting Role","Vittorio De Sica","A Farewell to Arms {'Major Alessandro Rinaldi'}","NO"
"1957 (30th)","Actor -- Supporting Role","Sessue Hayakawa","The Bridge on the River Kwai {'Saito'}","NO"
"1957 (30th)","Actor -- Supporting Role","Arthur Kennedy","Peyton Place {'Lucas Cross'}","NO"
"1957 (30th)","Actor -- Supporting Role","Russ Tamblyn","Peyton Place {'Norman Page'}","NO"
"1957 (30th)","Actress -- Leading Role","Deborah Kerr","Heaven Knows, Mr. Allison {'Sister Angela'}","NO"
"1957 (30th)","Actress -- Leading Role","Anna Magnani","Wild Is the Wind {'Gioia'}","NO"
"1957 (30th)","Actress -- Leading Role","Elizabeth Taylor","Raintree County {'Susanna Drake'}","NO"
"1957 (30th)","Actress -- Leading Role","Lana Turner","Peyton Place {'Constance MacKenzie'}","NO"
"1957 (30th)","Actress -- Leading Role","Joanne Woodward","The Three Faces of Eve {'Eve White/Eve Black/Jane'}","YES"
"1957 (30th)","Actress -- Supporting Role","Carolyn Jones","The Bachelor Party {'The Existentialist'}","NO"
"1957 (30th)","Actress -- Supporting Role","Elsa Lanchester","Witness for the Prosecution {'Miss Plimsoll'}","NO"
"1957 (30th)","Actress -- Supporting Role","Hope Lange","Peyton Place {'Selena Cross'}","NO"
"1957 (30th)","Actress -- Supporting Role","Miyoshi Umeki","Sayonara {'Katsumi'}","YES"
"1957 (30th)","Actress -- Supporting Role","Diane Varsi","Peyton Place {'Allison MacKenzie'}","NO"
"1957 (30th)","Cinematography","An Affair to Remember","Milton Krasner","NO"
"1957 (30th)","Cinematography","The Bridge on the River Kwai","Jack Hildyard","YES"
"1957 (30th)","Cinematography","Funny Face","Ray June","NO"
"1957 (30th)","Cinematography","Peyton Place","William Mellor","NO"
"1957 (30th)","Cinematography","Sayonara","Ellsworth Fredricks","NO"
"1957 (30th)","Directing","The Bridge on the River Kwai","David Lean","YES"
"1957 (30th)","Directing","Peyton Place","Mark Robson","NO"
"1957 (30th)","Directing","Sayonara","Joshua Logan","NO"
"1957 (30th)","Directing","12 Angry Men","Sidney Lumet","NO"
"1957 (30th)","Directing","Witness for the Prosecution","Billy Wilder","NO"
"1957 (30th)","Foreign Language Film","The Devil Came at Night","West Germany","NO"
"1957 (30th)","Foreign Language Film","Gates of Paris","France","NO"
"1957 (30th)","Foreign Language Film","Mother India","India","NO"
"1957 (30th)","Foreign Language Film","The Nights of Cabiria","Italy","YES"
"1957 (30th)","Foreign Language Film","Nine Lives","Norway","NO"
"1957 (30th)","Music (Scoring)","An Affair to Remember","Hugo Friedhofer","NO"
"1957 (30th)","Music (Scoring)","Boy on a Dolphin","Hugo Friedhofer","NO"
"1957 (30th)","Music (Scoring)","The Bridge on the River Kwai","Malcolm Arnold","YES"
"1957 (30th)","Music (Scoring)","Perri","Paul Smith","NO"
"1957 (30th)","Music (Scoring)","Raintree County","Johnny Green","NO"
"1957 (30th)","Music (Song)","An Affair to Remember","Music by Harry Warren; Lyrics by Harold Adamson and Leo McCarey","NO"
"1957 (30th)","Music (Song)","The Joker Is Wild","Music by James Van Heusen; Lyrics by Sammy Cahn","YES"
"1957 (30th)","Music (Song)","April Love","Music by Sammy Fain; Lyrics by Paul Francis Webster","NO"
"1957 (30th)","Music (Song)","Tammy and the Bachelor","Music and Lyrics by Ray Evans and Jay Livingston","NO"
"1957 (30th)","Music (Song)","Wild Is the Wind","Music by Dimitri Tiomkin; Lyrics by Ned Washington","NO"
"1957 (30th)","Best Picture","The Bridge on the River Kwai","Sam Spiegel, Producer","YES"
"1957 (30th)","Best Picture","Peyton Place","Jerry Wald, Producer","NO"
"1957 (30th)","Best Picture","Sayonara","William Goetz, Producer","NO"
"1957 (30th)","Best Picture","12 Angry Men","Henry Fonda and Reginald Rose, Producers","NO"
"1957 (30th)","Best Picture","Witness for the Prosecution","Arthur Hornblow, Jr., Producer","NO"
"1957 (30th)","Honorary Award","Charles Brackett","","YES"
"1957 (30th)","Honorary Award","B.B. Kahane","","YES"
"1957 (30th)","Honorary Award","Gilbert M. (Broncho Billy\") Anderson","motion picture pioneer","Honorary Award"
"1957 (30th)","Honorary Award","The Society of Motion Picture and Television Engineers","","YES"
"1956 (29th)","Actor -- Leading Role","Yul Brynner","The King and I {'The King'}","YES"
"1956 (29th)","Actor -- Leading Role","James Dean","Giant {'Jett Rink'}","NO"
"1956 (29th)","Actor -- Leading Role","Kirk Douglas","Lust for Life {'Vincent Van Gogh'}","NO"
"1956 (29th)","Actor -- Leading Role","Rock Hudson","Giant {'Bick Benedict'}","NO"
"1956 (29th)","Actor -- Leading Role","Laurence Olivier","Richard III {'Richard III'}","NO"
"1956 (29th)","Actor -- Supporting Role","Don Murray","Bus Stop {'Bo'}","NO"
"1956 (29th)","Actor -- Supporting Role","Anthony Perkins","Friendly Persuasion {'Josh Birdwell'}","NO"
"1956 (29th)","Actor -- Supporting Role","Anthony Quinn","Lust for Life {'Paul Gauguin'}","YES"
"1956 (29th)","Actor -- Supporting Role","Mickey Rooney","The Bold and the Brave {'Dooley'}","NO"
"1956 (29th)","Actor -- Supporting Role","Robert Stack","Written on the Wind {'Kyle Hadley'}","NO"
"1956 (29th)","Actress -- Leading Role","Carroll Baker","Baby Doll {'Baby Doll'}","NO"
"1956 (29th)","Actress -- Leading Role","Ingrid Bergman","Anastasia {'The Woman'}","YES"
"1956 (29th)","Actress -- Leading Role","Katharine Hepburn","The Rainmaker {'Lizzie Curry'}","NO"
"1956 (29th)","Actress -- Leading Role","Nancy Kelly","The Bad Seed {'Christine Penmark'}","NO"
"1956 (29th)","Actress -- Leading Role","Deborah Kerr","The King and I {'Anna'}","NO"
"1956 (29th)","Actress -- Supporting Role","Mildred Dunnock","Baby Doll {'Aunt Rose Comfort'}","NO"
"1956 (29th)","Actress -- Supporting Role","Eileen Heckart","The Bad Seed {'Mrs. Daigle'}","NO"
"1956 (29th)","Actress -- Supporting Role","Mercedes McCambridge","Giant {'Luz Benedict'}","NO"
"1956 (29th)","Actress -- Supporting Role","Patty McCormack","The Bad Seed {'Rhoda Penmark'}","NO"
"1956 (29th)","Actress -- Supporting Role","Dorothy Malone","Written on the Wind {'Marylee Hadley'}","YES"
"1956 (29th)","Cinematography","Baby Doll","Boris Kaufman","NO"
"1956 (29th)","Cinematography","The Bad Seed","Hal Rosson","NO"
"1956 (29th)","Cinematography","The Harder They Fall","Burnett Guffey","NO"
"1956 (29th)","Cinematography","Somebody Up There Likes Me","Joseph Ruttenberg","YES"
"1956 (29th)","Cinematography","Stagecoach to Fury","Walter Strenge","NO"
"1956 (29th)","Cinematography","Around the World in 80 Days","Lionel Lindon","YES"
"1956 (29th)","Cinematography","The Eddy Duchin Story","Harry Stradling","NO"
"1956 (29th)","Cinematography","The King and I","Leon Shamroy","NO"
"1956 (29th)","Cinematography","The Ten Commandments","Loyal Griggs","NO"
"1956 (29th)","Cinematography","War and Peace","Jack Cardiff","NO"
"1956 (29th)","Directing","Around the World in 80 Days","Michael Anderson","NO"
"1956 (29th)","Directing","Friendly Persuasion","William Wyler","NO"
"1956 (29th)","Directing","Giant","George Stevens","YES"
"1956 (29th)","Directing","The King and I","Walter Lang","NO"
"1956 (29th)","Directing","War and Peace","King Vidor","NO"
"1956 (29th)","Foreign Language Film","The Captain of Kopenick","Federal Republic of Germany - West; Gyula Trebitsch and Walter Koppel, Producers","NO"
"1956 (29th)","Foreign Language Film","Gervaise","France; Annie Dorfmann, Producer","NO"
"1956 (29th)","Foreign Language Film","Harp of Burma","Japan; Masayuki Takagi, Producer","NO"
"1956 (29th)","Foreign Language Film","La Strada","Italy; Dino De Laurentiis and Carlo Ponti, Producers","YES"
"1956 (29th)","Foreign Language Film","Qivitoq","Denmark; O. Dalsgaard-Olsen, Producer","NO"
"1956 (29th)","Music (Scoring)","Anastasia","Alfred Newman","NO"
"1956 (29th)","Music (Scoring)","Around the World in 80 Days","Victor Young","YES"
"1956 (29th)","Music (Scoring)","Between Heaven and Hell","Hugo Friedhofer","NO"
"1956 (29th)","Music (Scoring)","Giant","Dimitri Tiomkin","NO"
"1956 (29th)","Music (Scoring)","The Rainmaker","Alex North","NO"
"1956 (29th)","Music (Scoring)","The Best Things in Life Are Free","Lionel Newman","NO"
"1956 (29th)","Music (Scoring)","The Eddy Duchin Story","Morris Stoloff, George Duning","NO"
"1956 (29th)","Music (Scoring)","High Society","Johnny Green, Saul Chaplin","NO"
"1956 (29th)","Music (Scoring)","The King and I","Alfred Newman, Ken Darby","YES"
"1956 (29th)","Music (Scoring)","Meet Me in Las Vegas","George Stoll, Johnny Green","NO"
"1956 (29th)","Music (Song)","Friendly Persuasion","Music by Dimitri Tiomkin; Lyrics by Paul Francis Webster","NO"
"1956 (29th)","Music (Song)","Julie","Music by Leith Stevens; Lyrics by Tom Adair","NO"
"1956 (29th)","Music (Song)","High Society","Music and Lyrics by Cole Porter","NO"
"1956 (29th)","Music (Song)","The Man Who Knew Too Much","Music and Lyrics by Jay Livingston and Ray Evans","YES"
"1956 (29th)","Music (Song)","Written on the Wind","Music by Victor Young; Lyrics by Sammy Cahn","NO"
"1956 (29th)","Best Picture","Around the World in 80 Days","Michael Todd, Producer","YES"
"1956 (29th)","Best Picture","Friendly Persuasion","William Wyler, Producer","NO"
"1956 (29th)","Best Picture","Giant","George Stevens and Henry Ginsberg, Producers","NO"
"1956 (29th)","Best Picture","The King and I","Charles Brackett, Producer","NO"
"1956 (29th)","Best Picture","The Ten Commandments","Cecil B. DeMille, Producer","NO"
"1956 (29th)","Honorary Award","To Eddie Cantor","","YES"
"1955 (28th)","Actor -- Leading Role","Ernest Borgnine","Marty {'Marty Pilletti'}","YES"
"1955 (28th)","Actor -- Leading Role","James Cagney","Love Me or Leave Me {'Martin Snyder'}","NO"
"1955 (28th)","Actor -- Leading Role","James Dean","East of Eden {'Cal Trask'}","NO"
"1955 (28th)","Actor -- Leading Role","Frank Sinatra","The Man with the Golden Arm {'Frankie'}","NO"
"1955 (28th)","Actor -- Leading Role","Spencer Tracy","Bad Day at Black Rock {'John J. Macreedy'}","NO"
"1955 (28th)","Actor -- Supporting Role","Arthur Kennedy","Trial {'Barney Castle'}","NO"
"1955 (28th)","Actor -- Supporting Role","Jack Lemmon","Mister Roberts {'Ensign Pulver'}","YES"
"1955 (28th)","Actor -- Supporting Role","Joe Mantell","Marty {'Angie'}","NO"
"1955 (28th)","Actor -- Supporting Role","Sal Mineo","Rebel without a Cause {'Plato'}","NO"
"1955 (28th)","Actor -- Supporting Role","Arthur O'Connell","Picnic {'Howard Bevans'}","NO"
"1955 (28th)","Actress -- Leading Role","Susan Hayward","I'll Cry Tomorrow {'Lillian Roth'}","NO"
"1955 (28th)","Actress -- Leading Role","Katharine Hepburn","Summertime {'Jane Hudson'}","NO"
"1955 (28th)","Actress -- Leading Role","Jennifer Jones","Love Is a Many-Splendored Thing {'Han Suyin'}","NO"
"1955 (28th)","Actress -- Leading Role","Anna Magnani","The Rose Tattoo {'Serafina Della Rose'}","YES"
"1955 (28th)","Actress -- Leading Role","Eleanor Parker","Interrupted Melody {'Marjorie Lawrence'}","NO"
"1955 (28th)","Actress -- Supporting Role","Betsy Blair","Marty {'Clara Snyder'}","NO"
"1955 (28th)","Actress -- Supporting Role","Peggy Lee","Pete Kelly's Blues {'Rose Hopkins'}","NO"
"1955 (28th)","Actress -- Supporting Role","Marisa Pavan","The Rose Tattoo {'Rosa Della Rose'}","NO"
"1955 (28th)","Actress -- Supporting Role","Jo Van Fleet","East of Eden {'Kate'}","YES"
"1955 (28th)","Actress -- Supporting Role","Natalie Wood","Rebel without a Cause {'Judy'}","NO"
"1955 (28th)","Cinematography","Blackboard Jungle","Russell Harlan","NO"
"1955 (28th)","Cinematography","I'll Cry Tomorrow","Arthur E. Arling","NO"
"1955 (28th)","Cinematography","Marty","Joseph LaShelle","NO"
"1955 (28th)","Cinematography","Queen Bee","Charles Lang","NO"
"1955 (28th)","Cinematography","The Rose Tattoo","James Wong Howe","YES"
"1955 (28th)","Cinematography","Guys and Dolls","Harry Stradling","NO"
"1955 (28th)","Cinematography","Love Is a Many-Splendored Thing","Leon Shamroy","NO"
"1955 (28th)","Cinematography","A Man Called Peter","Harold Lipstein","NO"
"1955 (28th)","Cinematography","Oklahoma!","Robert Surtees","NO"
"1955 (28th)","Cinematography","To Catch a Thief","Robert Burks","YES"
"1955 (28th)","Directing","Bad Day at Black Rock","John Sturges","NO"
"1955 (28th)","Directing","East of Eden","Elia Kazan","NO"
"1955 (28th)","Directing","Marty","Delbert Mann","YES"
"1955 (28th)","Directing","Picnic","Joshua Logan","NO"
"1955 (28th)","Directing","Summertime","David Lean","NO"
"1955 (28th)","Foreign Language Film","To Samurai, The Legend of Musashi - Best Foreign Language Film first released in the United States during 1955.","","YES"
"1955 (28th)","Music (Scoring)","Battle Cry","Max Steiner","NO"
"1955 (28th)","Music (Scoring)","Love Is a Many-Splendored Thing","Alfred Newman","YES"
"1955 (28th)","Music (Scoring)","The Man with the Golden Arm","Elmer Bernstein","NO"
"1955 (28th)","Music (Scoring)","Picnic","George Duning","NO"
"1955 (28th)","Music (Scoring)","The Rose Tattoo","Alex North","NO"
"1955 (28th)","Music (Scoring)","Daddy Long Legs","Alfred Newman","NO"
"1955 (28th)","Music (Scoring)","Guys and Dolls","Jay Blackton, Cyril J. Mockridge","NO"
"1955 (28th)","Music (Scoring)","It's Always Fair Weather","Andre Previn","NO"
"1955 (28th)","Music (Scoring)","Love Me or Leave Me","Percy Faith, George Stoll","NO"
"1955 (28th)","Music (Scoring)","Oklahoma!","Robert Russell Bennett, Jay Blackton, Adolph Deutsch","YES"
"1955 (28th)","Music (Song)","Love Me or Leave Me","Music by Nicholas Brodszky; Lyrics by Sammy Cahn","NO"
"1955 (28th)","Music (Song)","Love Is a Many-Splendored Thing","Music by Sammy Fain; Lyrics by Paul Francis Webster","YES"
"1955 (28th)","Music (Song)","Daddy Long Legs","Music and Lyrics by Johnny Mercer","NO"
"1955 (28th)","Music (Song)","The Tender Trap","Music by James Van Heusen; Lyrics by Sammy Cahn","NO"
"1955 (28th)","Music (Song)","Unchained","Music by Alex North; Lyrics by Hy Zaret","NO"
"1955 (28th)","Best Picture","Love Is a Many-Splendored Thing","Buddy Adler, Producer","NO"
"1955 (28th)","Best Picture","Marty","Harold Hecht, Producer","YES"
"1955 (28th)","Best Picture","Mister Roberts","Leland Hayward, Producer","NO"
